constraint_id,maximum,"constraint_type",minimum,generic_land_use_type_id,plan_type_id
362,9,"units_per_acre",7.65,1,628
363,12,"units_per_acre",10.2,1,629
364,0.1,"units_per_acre",0,1,630
365,0.4,"units_per_acre",0,1,631
366,0.2,"units_per_acre",0,1,632
367,0.2,"units_per_acre",0,1,634
368,34.848,"units_per_acre",0,1,637
369,20.74,"units_per_acre",0,1,639
370,21.8,"units_per_acre",0,1,642
371,35,"units_per_acre",0,1,649
372,34.831,"units_per_acre",0,1,650
373,25.9173,"units_per_acre",0,1,651
374,23.4318,"units_per_acre",0,1,652
375,23.4318,"units_per_acre",0,1,653
376,13,"units_per_acre",0,1,654
377,20,"units_per_acre",0,1,655
378,18.15,"units_per_acre",0,1,656
379,24.2,"units_per_acre",0,1,657
380,24.2,"units_per_acre",0,1,658
381,24.2,"units_per_acre",0,1,659
382,12.1,"units_per_acre",0,1,661
383,18.15,"units_per_acre",0,1,664
384,12,"units_per_acre",0,1,667
385,12,"units_per_acre",0,1,668
386,20,"units_per_acre",0,1,669
387,20,"units_per_acre",0,1,670
388,24.2,"units_per_acre",0,1,671
389,5.12,"units_per_acre",0,1,673
390,6.05,"units_per_acre",0,1,674
391,12.1,"units_per_acre",0,1,675
392,7.02,"units_per_acre",0,1,676
393,1.24,"units_per_acre",0,1,677
394,12.1,"units_per_acre",0,1,678
395,8.71,"units_per_acre",0,1,679
396,1.24,"units_per_acre",0,1,680
397,12.1,"units_per_acre",0,1,681
398,3.48,"units_per_acre",0,1,682
399,24.2,"units_per_acre",0,1,683
400,24.2,"units_per_acre",0,1,684
401,12.1,"units_per_acre",0,1,685
402,24.2,"units_per_acre",0,1,686
403,24.2,"units_per_acre",0,1,687
404,24.2,"units_per_acre",0,1,688
405,12.1,"units_per_acre",0,1,689
406,24.2,"units_per_acre",0,1,690
407,8.71,"units_per_acre",0,1,691
408,12.1,"units_per_acre",0,1,692
410,18.15,"units_per_acre",0,1,695
411,24.2,"units_per_acre",0,1,696
412,18.15,"units_per_acre",0,1,697
413,18.15,"units_per_acre",0,1,698
414,24.2,"units_per_acre",0,1,699
415,12.1,"units_per_acre",0,1,700
416,8.71,"units_per_acre",0,1,701
417,24.2,"units_per_acre",0,1,703
418,18.15,"units_per_acre",0,1,704
419,12.1,"units_per_acre",0,1,705
420,5.12,"units_per_acre",0,1,706
421,5.12,"units_per_acre",0,1,707
422,24.2,"units_per_acre",0,1,708
423,18.15,"units_per_acre",0,1,709
424,20,"units_per_acre",0,1,710
425,12.1,"units_per_acre",0,1,712
426,20,"units_per_acre",0,1,713
427,12.1,"units_per_acre",0,1,714
428,12.1,"units_per_acre",0,1,715
429,12.1,"units_per_acre",0,1,716
430,20,"units_per_acre",0,1,717
431,20,"units_per_acre",0,1,718
432,6.05,"units_per_acre",0,1,719
433,20,"units_per_acre",0,1,720
434,12.1,"units_per_acre",0,1,721
435,24.2,"units_per_acre",0,1,722
436,18.15,"units_per_acre",0,1,723
437,12.1,"units_per_acre",0,1,724
438,8.71,"units_per_acre",0,1,725
439,24.2,"units_per_acre",0,1,726
440,18.15,"units_per_acre",0,1,727
441,12.1,"units_per_acre",0,1,728
442,8.71,"units_per_acre",0,1,729
443,3.48,"units_per_acre",0,1,730
444,1.24,"units_per_acre",0,1,731
445,8.71,"units_per_acre",0,1,732
446,6.91,"units_per_acre",0,1,733
447,6.05,"units_per_acre",0,1,734
448,5.12,"units_per_acre",0,1,735
449,1,"units_per_acre",0,1,736
450,4,"units_per_acre",0,1,737
451,6,"units_per_acre",0,1,738
452,8,"units_per_acre",0,1,739
453,3.48,"units_per_acre",0,1,740
454,1.24,"units_per_acre",0,1,741
455,8.71,"units_per_acre",0,1,742
456,6.05,"units_per_acre",0,1,743
457,5.12,"units_per_acre",0,1,744
458,29.2694,"units_per_acre",0,1,746
459,30,"units_per_acre",0,1,749
461,35,"units_per_acre",0,1,758
462,35,"units_per_acre",0,1,759
463,35,"units_per_acre",0,1,760
464,12.1,"units_per_acre",0,1,761
465,30,"units_per_acre",0,1,762
466,30,"units_per_acre",0,1,763
467,30.5471,"units_per_acre",0,1,765
468,8.7,"units_per_acre",0,1,768
469,12.1,"units_per_acre",0,1,769
470,3.48,"units_per_acre",0,1,770
471,12.1,"units_per_acre",0,1,771
472,30,"units_per_acre",0,1,773
473,30,"units_per_acre",0,1,774
474,30,"units_per_acre",10,1,777
475,0.02,"units_per_acre",0,1,778
476,4,"units_per_acre",1,1,779
477,5,"units_per_acre",0,1,781
478,2,"units_per_acre",0,1,782
479,5,"units_per_acre",0,1,783
480,20,"units_per_acre",10,1,784
481,2,"units_per_acre",0,1,786
482,4,"units_per_acre",0,1,787
483,30,"units_per_acre",10,1,788
484,30,"units_per_acre",0,1,790
486,2.5,"units_per_acre",0,1,794
487,0.1,"units_per_acre",0,1,797
488,0.2,"units_per_acre",0,1,798
489,0.05,"units_per_acre",0,1,799
490,2.23613,"units_per_acre",0,1,800
491,2,"units_per_acre",0,1,801
492,2,"units_per_acre",0,1,802
493,9,"units_per_acre",5,1,804
494,30,"units_per_acre",19,1,805
495,9,"units_per_acre",5,1,806
496,18,"units_per_acre",10,1,807
497,5,"units_per_acre",1,1,808
498,18,"units_per_acre",10,1,809
499,24.2,"units_per_acre",0,1,812
500,18.15,"units_per_acre",0,1,813
501,12.1,"units_per_acre",0,1,814
502,4.35,"units_per_acre",0,1,816
503,2.9,"units_per_acre",0,1,817
504,2.17,"units_per_acre",0,1,818
505,6.05,"units_per_acre",0,1,819
506,4.53,"units_per_acre",0,1,820
507,20,"units_per_acre",0,1,822
508,7,"units_per_acre",0,1,824
509,26,"units_per_acre",0,1,826
510,31.982,"units_per_acre",0,1,827
511,12.1,"units_per_acre",0,1,829
512,26,"units_per_acre",0,1,830
513,14.52,"units_per_acre",0,1,832
514,26,"units_per_acre",0,1,833
515,26,"units_per_acre",15,1,834
516,4.53,"units_per_acre",0,1,838
517,5.8,"units_per_acre",0,1,839
518,4.53,"units_per_acre",0,1,840
519,15,"units_per_acre",0,1,843
520,22,"units_per_acre",0,1,852
521,35,"units_per_acre",0,1,853
522,8.7,"units_per_acre",0,1,856
523,14.6,"units_per_acre",0,1,857
524,22,"units_per_acre",0,1,858
525,35,"units_per_acre",0,1,859
526,1.45,"units_per_acre",0,1,863
527,2.2,"units_per_acre",0,1,864
528,4.8,"units_per_acre",0,1,865
529,6.4,"units_per_acre",0,1,866
530,21.78,"units_per_acre",0,1,875
531,18.15,"units_per_acre",0,1,878
532,5.18,"units_per_acre",0,1,879
533,12.1,"units_per_acre",0,1,883
534,18.15,"units_per_acre",0,1,884
535,6.05,"units_per_acre",0,1,885
536,5.18,"units_per_acre",0,1,886
537,12,"units_per_acre",0,1,889
538,1,"units_per_acre",0,1,890
539,12,"units_per_acre",0,1,892
540,18,"units_per_acre",0,1,893
541,24,"units_per_acre",0,1,894
542,4,"units_per_acre",0,1,895
543,6,"units_per_acre",0,1,896
544,8,"units_per_acre",0,1,897
545,12,"units_per_acre",0,1,901
546,12,"units_per_acre",0,1,902
547,12,"units_per_acre",0,1,903
548,34,"units_per_acre",0,1,906
549,24,"units_per_acre",0,1,907
550,18,"units_per_acre",0,1,909
551,27,"units_per_acre",0,1,910
552,4.5,"units_per_acre",0,1,912
553,8,"units_per_acre",0,1,913
554,6.5,"units_per_acre",0,1,914
555,18,"units_per_acre",0,1,915
556,8,"units_per_acre",0,1,916
557,2.64,"units_per_acre",0,1,918
558,2.72,"units_per_acre",0,1,919
559,2.17,"units_per_acre",0,1,920
560,1.45,"units_per_acre",0,1,921
561,1.45,"units_per_acre",0,1,922
562,26,"units_per_acre",0,1,926
563,26,"units_per_acre",0,1,927
564,6.05,"units_per_acre",0,1,928
565,3.63,"units_per_acre",0,1,930
566,2.9,"units_per_acre",0,1,931
567,5.18,"units_per_acre",0,1,932
568,4.53,"units_per_acre",0,1,933
569,11.3004,"units_per_acre",0,1,934
570,16.6645,"units_per_acre",0,1,935
571,22.6296,"units_per_acre",0,1,936
572,22.6296,"units_per_acre",0,1,937
573,11.3004,"units_per_acre",0,1,938
574,16.6645,"units_per_acre",0,1,939
575,16,"units_per_acre",0,1,941
576,24,"units_per_acre",13,1,942
577,4,"units_per_acre",0,1,943
578,12,"units_per_acre",5,1,944
579,24,"units_per_acre",7,1,945
580,30,"units_per_acre",0,1,946
581,24,"units_per_acre",0,1,948
582,6.05,"units_per_acre",0,1,949
583,12,"units_per_acre",0,1,953
584,12,"units_per_acre",0,1,955
585,12,"units_per_acre",0,1,956
586,7.26,"units_per_acre",0,1,957
587,0.2,"units_per_acre",0,1,963
588,15,"units_per_acre",0,1,964
589,25,"units_per_acre",12,1,965
590,4,"units_per_acre",0,1,966
591,7,"units_per_acre",0,1,967
592,25,"units_per_acre",12,1,971
593,16,"units_per_acre",8,1,973
594,28,"units_per_acre",0,1,975
595,15.0496,"units_per_acre",0,1,977
596,9,"units_per_acre",0,1,979
597,8.0667,"units_per_acre",0,1,982
598,8.0667,"units_per_acre",0,1,983
599,9.07,"units_per_acre",0,1,984
600,6.05,"units_per_acre",0,1,985
601,5.18,"units_per_acre",0,1,986
602,9.07,"units_per_acre",0,1,987
603,12,"units_per_acre",0,1,988
604,12,"units_per_acre",0,1,989
605,16.1935,"units_per_acre",0,1,990
606,11.7224,"units_per_acre",0,1,991
607,21.086,"units_per_acre",0,1,992
608,16.1935,"units_per_acre",0,1,993
609,11.7224,"units_per_acre",0,1,994
610,9.66145,"units_per_acre",0,1,995
611,13,"units_per_acre",0,1,997
612,22,"units_per_acre",0,1,1003
613,13,"units_per_acre",0,1,1004
614,13,"units_per_acre",0,1,1006
615,22,"units_per_acre",0,1,1007
616,3.48,"units_per_acre",0,1,1010
617,3.48,"units_per_acre",0,1,1011
618,6.05,"units_per_acre",0,1,1012
619,5.8,"units_per_acre",0,1,1013
620,5.18,"units_per_acre",0,1,1014
621,4.53,"units_per_acre",0,1,1015
622,4.53,"units_per_acre",0,1,1016
623,1,"units_per_acre",0,1,1024
624,18,"units_per_acre",0,1,1025
625,6,"units_per_acre",0,1,1027
626,9,"units_per_acre",0,1,1028
627,30,"units_per_acre",0,1,1030
628,3.25,"units_per_acre",0,1,1031
629,2.7,"units_per_acre",0,1,1032
630,2,"units_per_acre",0,1,1033
631,8,"units_per_acre",0,1,1034
632,6,"units_per_acre",0,1,1035
633,18,"units_per_acre",0,1,1036
634,24,"units_per_acre",0,1,1037
635,2,"units_per_acre",0,1,1038
636,10,"units_per_acre",0,1,1039
637,21.78,"units_per_acre",0,1,1043
638,4,"units_per_acre",0,1,1046
639,0.5,"units_per_acre",0,1,1053
640,8,"units_per_acre",0,1,1054
641,6,"units_per_acre",0,1,1055
642,16.43,"units_per_acre",0,1,1061
643,1,"units_per_acre",0,1,1062
644,7.26,"units_per_acre",0,1,1063
645,25,"units_per_acre",8,1,1064
646,0.2,"units_per_acre",0,1,1065
647,25,"units_per_acre",8,1,1066
648,25,"units_per_acre",8,1,1068
649,0.01,"units_per_acre",0,1,1074
650,1.31587,"units_per_acre",0,1,1075
651,25,"units_per_acre",6,1,1076
652,11.7224,"units_per_acre",0,1,1077
653,15,"units_per_acre",4,1,1078
654,6,"units_per_acre",4,1,1081
655,25,"units_per_acre",8,1,1082
656,25,"units_per_acre",6,1,1083
657,25,"units_per_acre",4,1,1084
